"Day","Items","Note","Amount"
"68","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(1000)"
"68","Salary Expense","Cash Payment - Salary Expense","(23613)"
"68","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","7936"
"68","Retail","Revenue - Retail Sales Los Angeles - Body Wash","8736"
"68","Retail","Revenue - Retail Sales Los Angeles - Shampoo","10336"
"68","Retail","Revenue - Retail Sales New York - Mouthwash","7072"
"68","Retail","Revenue - Retail Sales New York - Body Wash","10725"
"68","Retail","Revenue - Retail Sales New York - Shampoo","8768"
"68","Retail","Revenue - Retail Sales Chicago - Mouthwash","3434"
"68","Retail","Revenue - Retail Sales Chicago - Body Wash","5084"
"68","Retail","Revenue - Retail Sales Chicago - Shampoo","4867"
"68","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","1020"
"68","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","1440"
"68","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1426"
